,Age,Sex,Race,Marital status?,Education,Employement,Incomes,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
1317,56,Male,White,Married,High school graduate,Employed full-time,"$75,000 to under $100,000",8,Yes,No,No,Purchased the book,Yes,Yes
1320,55,Female,White,Married,High school graduate,Retired,"$100,000 to under $150,000",8,Yes,Yes,No,Purchased the book,Yes,Yes
1322,50,Male,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",8,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
1323,50,Female,White,Married,High school graduate,Employed full-time,Refused,8,Yes,No,No,Got the book some other way,Yes,No
1324,47,Female,White,Divorced,"Some college, no 4-year degree",Employed full-time,"9$100,000 to under $150,000",8,Yes,No,No,Purchased the book,Yes,No
1325,47,Female,White,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",8,Yes,No,Yes,Purchased the book,No,No
1327,46,Male,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",8,Yes,Yes,No,Purchased the book,Yes,Yes
1328,45,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",8,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
1332,40,Female,White,Married,"Some college, no 4-year degree",Employed full-time,Refused,8,Yes,No,No,Got the book some other way,No,Yes
1339,34,Female,White,Living with a partner,"Some college, no 4-year degree",Not employed for pay,"$50,000 to under $75,000",8,Yes,No,No,Purchased the book,Yes,No
1342,32,Female,White,Married,High school graduate,Employed full-time,"9$100,000 to under $150,000",8,Yes,No,No,Purchased the book,Yes,Yes
1344,31,Female,White,Never been married,High school graduate,Not employed for pay,"$20,000 to under $30,000",8,Yes,No,No,Purchased the book,No,No
1345,30,Female,White,Separated,High school incomplete,Not employed for pay,"Less than $10,000",8,Yes,No,No,Got the book some other way,No,No
1347,28,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",8,Yes,No,No,Purchased the book,No,No
1348,27,Male,White,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",8,Yes,Yes,Yes,Purchased the book,No,No
1353,21,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$10,000 to under $20,000",8,Yes,No,No,Borrowed the book from a friend or family member,No,No
1354,21,Male,White,Never been married,High school graduate,Employed full-time,"$10,000 to under $20,000",8,Yes,No,No,Borrowed the book from a friend or family member,No,No
1355,21,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$100,000 to under $150,000",8,Yes,No,No,Borrowed the book from a friend or family member,No,No
1356,21,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",8,Yes,No,Yes,Purchased the book,Yes,No
1357,18,Male,White,Never been married,High school graduate,Not employed for pay,"$50,000 to under $75,000",8,Yes,No,Yes,Borrowed the book from a friend or family member,No,No
1358,17,Female,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",8,Yes,No,No,Purchased the book,No,Yes
1359,17,Male,White,Never been married,High school graduate,Employed part-time,"$40,000 to under $50,000",8,Yes,No,No,Purchased the book,Yes,No
1360,16,Male,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",8,Yes,No,No,Got the book some other way,Yes,No
1362,43,Female,Don’t know,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",7,Yes,No,Yes,Purchased the book,Yes,Yes
1363,21,Male,Other,Never been married,High school graduate,Employed full-time,"$30,000 to under $40,000",7,Yes,No,Yes,Purchased the book,No,No
1367,27,Female,Asian or Pacific Islander,Married,"Some college, no 4-year degree",Student,"$75,000 to under $100,000",7,Yes,No,No,Purchased the book,No,No
1368,20,Female,Asian or Pacific Islander,Never been married,"Some college, no 4-year degree",Student,"$30,000 to under $40,000",7,Yes,No,Yes,Borrowed the book from a library,No,No
1369,19,Male,Asian or Pacific Islander,Never been married,High school graduate,Not employed for pay,"$100,000 to under $150,000",7,Yes,Yes,Yes,Purchased the book,No,Yes
1370,64,Female,Black or African-American,Divorced,"Some college, no 4-year degree",Retired,Refused,7,Yes,No,No,Purchased the book,Yes,Yes
1371,47,Female,Black or African-American,Widowed,"Some college, no 4-year degree",Retired,"9$100,000 to under $150,000",7,Yes,No,No,Purchased the book,Yes,Yes
1375,22,Male,Black or African-American,Never been married,"Some college, no 4-year degree",Employed part-time,"$100,000 to under $150,000",7,Yes,Yes,No,Purchased the book,No,No
1377,22,Male,Black or African-American,Never been married,High school graduate,Employed part-time,"9$100,000 to under $150,000",7,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
1378,17,Male,Black or African-American,Never been married,High school incomplete,Employed part-time,"9$100,000 to under $150,000",7,Yes,No,No,Got the book some other way,No,No
1379,91,Female,White,Widowed,High school graduate,Retired,Refused,7,Yes,No,No,Borrowed the book from a library,Yes,No
1380,74,Female,White,Married,High school graduate,Retired,"$40,000 to under $50,000",7,Yes,No,Yes,Purchased the book,No,No
1382,65,Female,White,Married,"Some college, no 4-year degree",Retired,"$75,000 to under $100,000",7,Yes,No,No,Purchased the book,No,No
1383,64,Male,White,Divorced,High school incomplete,Disabled,"$10,000 to under $20,000",7,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
1386,52,Female,White,Divorced,High school graduate,Employed full-time,"$50,000 to under $75,000",7,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
1387,47,Male,White,Living with a partner,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",7,Yes,No,No,Purchased the book,Yes,Yes
1390,41,Female,White,Divorced,"Some college, no 4-year degree",Not employed for pay,"Less than $10,000",7,Yes,No,No,Purchased the book,No,No
1392,32,Female,White,Married,High school graduate,Not employed for pay,"$100,000 to under $150,000",7,Yes,No,No,Purchased the book,Yes,No
1395,25,Female,White,Living with a partner,High school graduate,Employed full-time,"$20,000 to under $30,000",7,Yes,No,No,Borrowed the book from a friend or family member,No,No
1396,25,Male,White,Never been married,High school graduate,Not employed for pay,"$10,000 to under $20,000",7,Yes,No,No,Purchased the book,Yes,Yes
1400,21,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"$50,000 to under $75,000",7,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
1401,21,Female,White,Single,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",7,Yes,No,No,Purchased the book,No,No
1403,20,Male,White,Never been married,High school graduate,Employed part-time,"$50,000 to under $75,000",7,Yes,No,No,Purchased the book,No,No
1404,20,Male,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"$100,000 to under $150,000",7,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
1405,18,Male,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",7,Yes,No,Yes,Got the book some other way,No,No
1406,18,Female,White,Never been married,High school graduate,Employed part-time,"$75,000 to under $100,000",7,Yes,No,No,Purchased the book,Yes,Yes
1407,17,Male,White,Never been married,High school graduate,Not employed for pay,"9$100,000 to under $150,000",7,Yes,No,No,Purchased the book,No,No
1408,17,Male,White,Never been married,High school incomplete,Employed part-time,"$100,000 to under $150,000",7,Yes,No,No,Got the book some other way,Yes,No
1409,16,Male,White,Never been married,High school incomplete,Employed part-time,"9$100,000 to under $150,000",7,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
1412,67,Male,Other,Divorced,High school graduate,Retired,"Less than $10,000",6,Yes,No,No,Purchased the book,Yes,No
1413,58,Female,Other,Married,"Some college, no 4-year degree",Not employed for pay,Refused,6,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
1415,18,Male,Other,Never been married,High school incomplete,Not employed for pay,"$30,000 to under $40,000",6,Yes,Yes,Yes,Got the book some other way,Yes,Yes
1418,48,Female,Mixed race,Living with a partner,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",6,Yes,Yes,Yes,Got the book some other way,Yes,Yes
1419,35,Male,Mixed race,Living with a partner,"Some college, no 4-year degree",Not employed for pay,"$20,000 to under $30,000",6,Yes,No,Yes,Got the book some other way,No,Yes
1422,60,Male,Black or African-American,Married,High school graduate,Retired,"$30,000 to under $40,000",6,No,No,No,9,Yes,No
1427,49,Female,Black or African-American,Never been married,High school graduate,Not employed for pay,"Less than $10,000",6,Yes,No,No,Purchased the book,No,No
1428,48,Female,Black or African-American,Married,"Some college, no 4-year degree",Employed full-time,"$10,000 to under $20,000",6,Yes,No,No,Purchased the book,No,Yes
1430,33,Male,Black or African-American,Never been married,High school graduate,Retired,"9$100,000 to under $150,000",6,Yes,No,No,Borrowed the book from a library,Yes,No
1433,29,Male,Black or African-American,Separated,High school graduate,Employed full-time,"$40,000 to under $50,000",6,Yes,No,Yes,Got the book some other way,Yes,Yes
1434,28,Male,Black or African-American,Living with a partner,High school graduate,Not employed for pay,"$30,000 to under $40,000",6,Yes,No,No,Purchased the book,Yes,Yes
1435,21,Male,Black or African-American,Never been married,High school graduate,Employed full-time,"$10,000 to under $20,000",6,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
1436,19,Female,Black or African-American,Never been married,High school graduate,Not employed for pay,"9$100,000 to under $150,000",6,Yes,No,No,Borrowed the book from a friend or family member,No,No
1437,18,Male,Black or African-American,Never been married,High school graduate,Not employed for pay,"9$100,000 to under $150,000",6,Yes,No,No,Got the book some other way,Yes,Yes
1439,85,Female,White,Married,"Some college, no 4-year degree",Retired,Refused,6,Yes,No,No,Purchased the book,Yes,Yes
1442,77,Male,White,Widowed,High school graduate,Retired,"$10,000 to under $20,000",6,Yes,No,No,Purchased the book,Yes,No
1443,76,Female,White,Widowed,High school graduate,Retired,"$20,000 to under $30,000",6,Yes,No,No,Purchased the book,No,Yes
1445,74,Female,White,Married,High school graduate,Retired,Refused,6,Yes,No,No,Borrowed the book from a friend or family member,No,No
1446,73,Female,White,Divorced,High school graduate,Retired,"$10,000 to under $20,000",6,Yes,No,No,Purchased the book,Yes,Yes
1448,73,Female,White,Married,High school graduate,Employed part-time,Refused,6,Yes,No,No,Borrowed the book from a library,Yes,Yes
1449,72,Female,White,Married,High school graduate,Retired,"$50,000 to under $75,000",6,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
1450,72,Male,White,Married,High school graduate,Retired,"$100,000 to under $150,000",6,Yes,No,Yes,Purchased the book,Yes,Yes
1451,70,Male,White,Married,High school graduate,Retired,"$10,000 to under $20,000",6,Yes,No,No,Borrowed the book from a friend or family member,No,No
1454,68,Male,White,Married,High school graduate,Retired,"$40,000 to under $50,000",6,No,No,No,Borrowed the book from a friend or family member,Yes,Yes
1455,68,Female,White,Married,"Some college, no 4-year degree",Retired,Refused,6,Yes,No,No,Purchased the book,Yes,Yes
1456,68,Female,White,Married,"Some college, no 4-year degree",Retired,"$40,000 to under $50,000",6,Yes,No,Yes,Purchased the book,No,No
1458,67,Male,White,Married,High school graduate,Retired,"$50,000 to under $75,000",6,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
1460,67,Male,White,Married,High school graduate,Employed full-time,"$100,000 to under $150,000",6,Yes,No,Yes,Purchased the book,Yes,Yes
1461,66,Male,White,Divorced,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",6,No,Yes,Yes,Purchased the book,Yes,Yes
1462,65,Male,White,Married,High school graduate,Retired,"9$100,000 to under $150,000",6,Yes,No,No,Purchased the book,Yes,Yes
1463,65,Female,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",6,Yes,No,No,Purchased the book,Yes,Yes
1464,64,Female,White,Widowed,High school graduate,Employed full-time,"$75,000 to under $100,000",6,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
1465,64,Male,White,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",6,Yes,No,No,Purchased the book,No,No
1468,63,Male,White,Divorced,"Some college, no 4-year degree",Disabled,"$30,000 to under $40,000",6,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
1469,62,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",6,Yes,No,No,Purchased the book,Yes,Yes
1470,61,Female,White,Divorced,"Some college, no 4-year degree",Not employed for pay,"Less than $10,000",6,Yes,Don’t know,Don’t know,Borrowed the book from a friend or family member,Yes,Yes
1471,60,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",6,No,No,Yes,Got the book some other way,Yes,Yes
1472,60,Male,White,Divorced,High school incomplete,Disabled,"$10,000 to under $20,000",6,Yes,No,No,Purchased the book,Yes,No
1475,59,Male,White,Separated,"Some college, no 4-year degree",Not employed for pay,"Less than $10,000",6,Yes,No,No,Borrowed the book from a library,No,No
1479,58,Male,White,Married,"Some college, no 4-year degree",Employed part-time,"$40,000 to under $50,000",6,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes
1484,56,Female,White,Married,High school graduate,Have own business/self-employed,"$50,000 to under $75,000",6,Yes,No,No,Borrowed the book from a friend or family member,No,No
1486,56,Female,White,Divorced,High school graduate,Employed full-time,"$40,000 to under $50,000",6,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
1487,56,Male,White,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",6,Yes,No,No,8,No,Yes
1490,56,Female,White,Living with a partner,High school graduate,Not employed for pay,"$50,000 to under $75,000",6,Yes,No,No,Purchased the book,Yes,Yes
1492,55,Female,White,Married,High school graduate,Employed full-time,Refused,6,Yes,Yes,No,Purchased the book,Yes,Yes
1495,54,Female,White,Married,"Some college, no 4-year degree",Other,Refused,6,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
1498,54,Male,White,Divorced,"Some college, no 4-year degree",Retired,"$30,000 to under $40,000",6,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
1499,53,Male,White,Single,High school graduate,Employed full-time,"$50,000 to under $75,000",6,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
1501,53,Female,White,Married,High school graduate,Employed part-time,"$75,000 to under $100,000",6,Yes,No,Yes,Purchased the book,Yes,Yes
1502,53,Female,White,Married,High school graduate,Employed full-time,"$75,000 to under $100,000",6,Yes,No,Yes,Purchased the book,No,No
1504,53,Male,White,Never been married,"Some college, no 4-year degree",Retired,"$100,000 to under $150,000",6,Yes,No,No,Borrowed the book from a library,Yes,No
1506,52,Female,White,Never been married,High school graduate,Employed full-time,"$20,000 to under $30,000",6,Yes,No,No,Got the book some other way,No,Yes
1507,52,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",6,Yes,No,No,Got the book some other way,Yes,Yes
1508,51,Female,White,Married,High school incomplete,Not employed for pay,"$20,000 to under $30,000",6,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
1512,51,Female,White,Widowed,High school graduate,Employed full-time,"$20,000 to under $30,000",6,Yes,No,No,Purchased the book,Yes,Yes
1515,50,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",6,Yes,No,No,Purchased the book,Yes,No
1519,48,Male,White,Don’t know,High school incomplete,Disabled,"Less than $10,000",6,Yes,Yes,No,Borrowed the book from a library,No,No
1520,48,Female,White,Widowed,High school graduate,Employed full-time,"$50,000 to under $75,000",6,Yes,No,No,Purchased the book,Yes,Yes
1521,47,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",6,Yes,No,No,Purchased the book,Yes,Yes
1523,47,Female,White,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",6,Yes,No,No,Purchased the book,Yes,Yes
1524,47,Male,White,Married,High school graduate,Employed full-time,"$100,000 to under $150,000",6,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
1528,47,Male,White,Married,High school graduate,Employed full-time,"$100,000 to under $150,000",6,Yes,No,Yes,Got the book some other way,No,No
1530,46,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",6,Yes,No,Yes,Purchased the book,No,Yes
1532,44,Male,White,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",6,Yes,No,No,Purchased the book,Yes,No
1534,43,Female,White,Married,High school graduate,Employed full-time,"$75,000 to under $100,000",6,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
1535,43,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$100,000 to under $150,000",6,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
1538,42,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",6,Yes,No,Yes,Purchased the book,No,Yes
1539,41,Female,White,Living with a partner,High school incomplete,Not employed for pay,"$20,000 to under $30,000",6,Yes,No,No,Purchased the book,No,No
1541,40,Male,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",6,Yes,No,No,9,Yes,No
1543,40,Male,White,Divorced,"Some college, no 4-year degree",Have own business/self-employed,"$100,000 to under $150,000",6,Yes,No,No,Purchased the book,No,Yes
1544,39,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",6,Yes,No,Yes,Purchased the book,No,No
1548,38,Female,White,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",6,Yes,No,No,Borrowed the book from a friend or family member,No,No
1550,38,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",6,Yes,Yes,Yes,Purchased the book,Yes,Yes
1552,36,Female,White,Never been married,High school incomplete,Not employed for pay,"Less than $10,000",6,Yes,No,No,Purchased the book,Yes,No
1553,34,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",6,Yes,No,No,Purchased the book,Yes,No
1556,33,Male,White,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",6,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
1561,30,Female,White,Married,High school graduate,Employed full-time,"$20,000 to under $30,000",6,Yes,No,No,Purchased the book,No,Yes
1562,30,Male,White,Married,High school graduate,Employed full-time,"$100,000 to under $150,000",6,Yes,No,No,Purchased the book,Yes,Yes
1563,29,Female,White,Living with a partner,High school graduate,Employed full-time,"$20,000 to under $30,000",6,Yes,Yes,No,Borrowed the book from a library,No,Yes
1567,26,Female,White,Married,High school incomplete,Not employed for pay,"$20,000 to under $30,000",6,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
1568,25,Male,White,Married,High school graduate,Not employed for pay,"$30,000 to under $40,000",6,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
1570,23,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$40,000 to under $50,000",6,No,No,Yes,Got the book some other way,Yes,Yes
1571,23,Male,White,Living with a partner,High school graduate,Employed full-time,"$20,000 to under $30,000",6,Yes,No,No,Purchased the book,No,Yes
1572,21,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$100,000 to under $150,000",6,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
1573,19,Female,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$75,000 to under $100,000",6,Yes,No,No,Purchased the book,No,No
1574,18,Female,White,Never been married,High school graduate,Student,"9$100,000 to under $150,000",6,Yes,No,No,Got the book some other way,No,No
1575,18,Female,White,Never been married,High school graduate,Not employed for pay,"$75,000 to under $100,000",6,Yes,No,No,Purchased the book,No,No
1576,18,Female,White,Never been married,"Some college, no 4-year degree",Employed part-time,"9$100,000 to under $150,000",6,Yes,No,No,Purchased the book,No,No
1577,17,Female,White,Never been married,High school incomplete,Not employed for pay,"$20,000 to under $30,000",6,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
1578,17,Male,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",6,Yes,No,No,Borrowed the book from a library,No,No
1579,17,Male,White,Never been married,High school incomplete,Not employed for pay,"$50,000 to under $75,000",6,Yes,Yes,No,Purchased the book,No,Yes
1580,17,Male,White,Never been married,High school incomplete,Employed part-time,"$75,000 to under $100,000",6,Yes,Yes,No,Purchased the book,Yes,Yes
1581,16,Male,White,Never been married,High school incomplete,Employed part-time,"$75,000 to under $100,000",6,Yes,No,No,8,Yes,Yes
1584,48,Female,Refused,Don’t know,"Some college, no 4-year degree",Employed full-time,Refused,5,Yes,No,No,Borrowed the book from a library,Yes,Yes
1585,56,Male,Other,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",5,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
1586,21,Male,Other,Never been married,High school graduate,Employed full-time,"$50,000 to under $75,000",5,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
1587,20,Male,Other,Living with a partner,High school graduate,Employed part-time,"$10,000 to under $20,000",5,No,No,No,Borrowed the book from a library,No,No
1588,20,Female,Other,Never been married,"Some college, no 4-year degree",Not employed for pay,"$10,000 to under $20,000",5,Yes,No,No,Purchased the book,No,No
1589,18,Female,Other,Living with a partner,High school graduate,Not employed for pay,"Less than $10,000",5,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
1590,16,Male,Other,Never been married,High school incomplete,Not employed for pay,"$50,000 to under $75,000",5,Yes,No,No,Borrowed the book from a library,Yes,No
1591,17,Female,Native American/American Indian,Never been married,High school incomplete,Employed full-time,"Less than $10,000",5,No,No,No,8,No,No
1593,28,Male,Mixed race,Married,High school graduate,Employed full-time,"$20,000 to under $30,000",5,Yes,No,No,Got the book some other way,Yes,No
1594,20,Male,Mixed race,Married,"Some college, no 4-year degree",Employed part-time,"$10,000 to under $20,000",5,Yes,No,Yes,Purchased the book,No,No
1600,19,Female,Asian or Pacific Islander,Never been married,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",5,Yes,No,No,Purchased the book,No,Yes
1601,87,Female,Black or African-American,Widowed,High school graduate,Retired,"$10,000 to under $20,000",5,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
1602,65,Female,Black or African-American,Divorced,High school graduate,Disabled,"$20,000 to under $30,000",5,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
1604,60,Male,Black or African-American,Married,"Some college, no 4-year degree",Retired,"$30,000 to under $40,000",5,Yes,Yes,No,Purchased the book,Yes,Yes
1605,54,Female,Black or African-American,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",5,Yes,No,No,Purchased the book,Yes,Yes
1606,54,Female,Black or African-American,Never been married,"Some college, no 4-year degree",Retired,"$10,000 to under $20,000",5,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
1607,52,Male,Black or African-American,Living with a partner,"Some college, no 4-year degree",Have own business/self-employed,"$10,000 to under $20,000",5,Yes,No,No,Got the book some other way,Yes,No
1609,49,Female,Black or African-American,Never been married,High school graduate,Retired,"Less than $10,000",5,Yes,No,No,Purchased the book,Yes,No
1611,45,Male,Black or African-American,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",5,Yes,No,No,Purchased the book,Yes,Yes
1612,42,Male,Black or African-American,Divorced,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",5,Yes,No,No,Purchased the book,Yes,Yes
1613,40,Male,Black or African-American,Married,"Some college, no 4-year degree",Employed part-time,"$20,000 to under $30,000",5,Yes,Yes,Yes,Purchased the book,No,Yes
1614,39,Male,Black or African-American,Married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",5,Yes,No,No,Got the book some other way,No,No
1615,38,Female,Black or African-American,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",5,Yes,Yes,No,Purchased the book,No,No
1616,37,Male,Black or African-American,Married,High school graduate,Have own business/self-employed,Refused,5,Yes,Yes,Yes,Borrowed the book from a friend or family member,No,Yes
1617,36,Female,Black or African-American,Separated,High school incomplete,Not employed for pay,"$20,000 to under $30,000",5,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
1618,35,Male,Black or African-American,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",5,Yes,No,No,Borrowed the book from a friend or family member,No,No
1619,34,Female,Black or African-American,Married,"Some college, no 4-year degree",Employed part-time,"$30,000 to under $40,000",5,Yes,Yes,Yes,Purchased the book,Yes,Yes
1620,33,Female,Black or African-American,Never been married,High school graduate,Disabled,"$20,000 to under $30,000",5,No,No,No,Borrowed the book from a friend or family member,Yes,No
1621,32,Female,Black or African-American,Never been married,High school graduate,Not employed for pay,"Less than $10,000",5,Yes,No,Yes,Got the book some other way,Yes,Yes
1623,30,Female,Black or African-American,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",5,No,No,Yes,Borrowed the book from a friend or family member,No,No
1624,23,Female,Black or African-American,Living with a partner,"Some college, no 4-year degree",Employed full-time,"Less than $10,000",5,Yes,No,No,Purchased the book,Yes,No
1625,21,Male,Black or African-American,Never been married,High school graduate,Not employed for pay,"$40,000 to under $50,000",5,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
1626,18,Female,Black or African-American,Living with a partner,High school graduate,Employed part-time,"$30,000 to under $40,000",5,Yes,No,No,Borrowed the book from a library,Yes,Yes
1627,18,Female,Black or African-American,Never been married,"Some college, no 4-year degree",Not employed for pay,"$10,000 to under $20,000",5,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
1628,18,Female,Black or African-American,Separated,"Some college, no 4-year degree",Employed part-time,"Less than $10,000",5,No,No,No,Purchased the book,No,No
1629,17,Female,Black or African-American,Never been married,High school incomplete,Employed part-time,"9$100,000 to under $150,000",5,Yes,No,No,Purchased the book,No,No
1630,17,Male,Black or African-American,Never been married,High school incomplete,Employed part-time,"$100,000 to under $150,000",5,Yes,No,No,Borrowed the book from a library,No,No
1632,88,Male,White,Married,"Some college, no 4-year degree",Retired,"$10,000 to under $20,000",5,Yes,No,No,Got the book some other way,Yes,No
1634,88,Male,White,Married,"Some college, no 4-year degree",Retired,"$40,000 to under $50,000",5,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
1635,81,Female,White,Married,High school graduate,Retired,Refused,5,Yes,No,No,Borrowed the book from a friend or family member,No,No
1636,76,Female,White,Widowed,High school graduate,Retired,Refused,5,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
1637,76,Female,White,Widowed,High school graduate,Retired,"$10,000 to under $20,000",5,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes
1638,74,Female,White,Married,High school incomplete,Retired,"$20,000 to under $30,000",5,Yes,No,No,Got the book some other way,Yes,Yes
1643,67,Male,White,Married,"Some college, no 4-year degree",Retired,"$40,000 to under $50,000",5,Yes,No,No,Borrowed the book from a library,Yes,No
1644,67,Male,White,Widowed,"Some college, no 4-year degree",Employed part-time,"9$100,000 to under $150,000",5,Yes,Yes,Yes,Purchased the book,Yes,No
1645,66,Female,White,Married,High school graduate,Retired,"$20,000 to under $30,000",5,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
1646,66,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",5,Yes,Yes,No,Borrowed the book from a library,No,Yes
1648,65,Male,White,Widowed,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",5,Yes,No,No,Purchased the book,Yes,Yes
1649,65,Male,White,Married,High school incomplete,Retired,"$30,000 to under $40,000",5,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
1652,62,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",5,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
1653,61,Female,White,Married,High school graduate,Not employed for pay,Refused,5,Yes,No,No,Purchased the book,Yes,Yes
1655,61,Female,White,Married,"Some college, no 4-year degree",Have own business/self-employed,"$100,000 to under $150,000",5,Yes,Yes,Yes,Purchased the book,Yes,Yes
1656,60,Female,White,Married,High school graduate,Not employed for pay,"$10,000 to under $20,000",5,Yes,No,No,Purchased the book,Yes,Yes
